optimizer_step,_step,_step__MIN,_step__MAX,global_loss,global_loss__MIN,global_loss__MAX,,,,,,
80,159.5,159,160,5.98394632339478,5.9811282157898,5.98676443099976,,,,,,
81,161.5,161,162,5.91280031204224,5.88041973114014,5.94518089294434,,,,,,
82,163.5,163,164,5.91640758514404,5.88899230957031,5.94382286071777,,,,,,
83,165.5,165,166,5.94720053672791,5.93153858184814,5.96286249160767,,,,,,
84,167.5,167,168,5.88925743103027,5.84313011169434,5.93538475036621,,,,,,
85,169.5,169,170,5.83758807182312,5.78910636901856,5.88606977462769,,,,,,
86,171.5,171,172,5.89986634254456,5.88150310516357,5.91822957992554,,,,,,
87,173.5,173,174,5.84747791290283,5.75989055633545,5.93506526947022,,,,,,
88,175.5,175,176,5.82489442825317,5.7958984375,5.85389041900635,,,,,,
89,177.5,177,178,5.82527732849121,5.78133249282837,5.86922216415405,,,,,,
90,179.5,179,180,5.7547619342804,5.68043947219849,5.82908439636231,,,,,,
91,181.5,181,182,5.82485103607178,5.81728601455689,5.83241605758667,,,,,,
92,183.5,183,184,5.77148389816284,5.70421600341797,5.83875179290772,,,,,,
93,185.5,185,186,5.74094223976135,5.72559690475464,5.75628757476807,,,,,,
94,187.5,187,188,5.783203125,5.75754833221436,5.80885791778564,,,,,,
95,189.5,189,190,5.75205564498901,5.74073600769043,5.7633752822876,,,,,,
96,191.5,191,192,5.72630929946899,5.72414445877075,5.72847414016724,,,,,,
97,193.5,193,194,5.780522108078,5.75190305709839,5.80914115905762,,,,,,
98,195.5,195,196,5.69243860244751,5.67509889602661,5.70977830886841,,,,,,
99,197.5,197,198,5.64078187942505,5.56638908386231,5.71517467498779,,,,,,
100,199.5,199,200,5.72258162498474,5.67600631713867,5.76915693283081,,,,,,
101,201.5,201,202,5.63092184066773,5.57189559936523,5.68994808197022,,,,,,
102,203.5,203,204,5.64036107063294,5.62180328369141,5.65891885757446,,,,,,
103,205.5,205,206,5.59819173812866,5.56785917282105,5.62852430343628,,,,,,
104,207.5,207,208,5.64139175415039,5.62054252624512,5.66224098205566,,,,,,
105,209.5,209,210,5.59112858772278,5.55196094512939,5.63029623031616,,,,,,
106,211.5,211,212,5.57850289344788,5.55796194076538,5.59904384613037,,,,,,
107,213.5,213,214,5.61966276168823,5.59113502502441,5.64819049835205,,,,,,
108,215.5,215,216,5.5881781578064,5.58638191223145,5.58997440338135,,,,,,
109,217.5,217,218,5.57041263580322,5.55713558197022,5.58368968963623,,,,,,
110,219.5,219,220,5.51790261268616,5.51627349853516,5.51953172683716,,,,,,
111,221.5,221,222,5.52846550941467,5.52086687088013,5.53606414794922,,,,,,
112,223.5,223,224,5.48185610771179,5.4602198600769,5.50349235534668,,,,,,
113,225.5,225,226,5.51950263977051,5.45802545547485,5.58097982406616,,,,,,
114,227.5,227,228,5.54426956176758,5.53536987304688,5.55316925048828,,,,,,
115,229.5,229,230,5.46462297439575,5.43771553039551,5.491530418396,,,,,,
116,231.5,231,232,5.42113065719605,5.37628841400147,5.46597290039063,,,,,,
117,233.5,233,234,5.47707939147949,5.4532413482666,5.50091743469238,,,,,,
118,235.5,235,236,5.48096680641174,5.45752620697022,5.50440740585327,,,,,,
119,237.5,237,238,5.48632502555847,5.46890163421631,5.50374841690064,,,,,,
120,239.5,239,240,5.40842843055725,5.36478662490845,5.45207023620606,,,,,,
121,241.5,241,242,5.45367169380188,5.39688014984131,5.51046323776245,,,,,,
122,243.5,243,244,5.43907690048218,5.43857002258301,5.43958377838135,,,,,,
123,245.5,245,246,5.39074897766113,5.35888576507568,5.42261219024658,,,,,,
124,247.5,247,248,5.4362781047821,5.39732837677002,5.47522783279419,,,,,,
125,249.5,249,250,5.42753767967224,5.37764501571655,5.47743034362793,,,,,,
126,251.5,251,252,5.36983990669251,5.32739925384522,5.4122805595398,,,,,,
127,253.5,253,254,5.3724365234375,5.3490104675293,5.3958625793457,,,,,,
