optimizer_step,_step,_step__MIN,_step__MAX,global_grad_norm,global_grad_norm__MIN,global_grad_norm__MAX,,,,,,
70,139,139,139,0.575242161750794,0.575242161750794,0.575242161750794,,,,,,
71,141,141,141,0.473733633756638,0.473733633756638,0.473733633756638,,,,,,
72,143,143,143,0.511931121349335,0.511931121349335,0.511931121349335,,,,,,
73,145,145,145,0.414932996034622,0.414932996034622,0.414932996034622,,,,,,
74,147,147,147,0.36317777633667,0.36317777633667,0.36317777633667,,,,,,
75,149,149,149,0.507536709308624,0.507536709308624,0.507536709308624,,,,,,
76,151,151,151,0.342938423156738,0.342938423156738,0.342938423156738,,,,,,
77,153,153,153,0.35208985209465,0.35208985209465,0.35208985209465,,,,,,
78,155,155,155,0.394621521234512,0.394621521234512,0.394621521234512,,,,,,
79,157,157,157,0.30988684296608,0.30988684296608,0.30988684296608,,,,,,
80,159,159,159,0.367114990949631,0.367114990949631,0.367114990949631,,,,,,
81,161,161,161,0.363448292016983,0.363448292016983,0.363448292016983,,,,,,
82,163,163,163,0.32228896021843,0.32228896021843,0.32228896021843,,,,,,
83,165,165,165,0.28799957036972,0.28799957036972,0.28799957036972,,,,,,
84,167,167,167,0.265517294406891,0.265517294406891,0.265517294406891,,,,,,
85,169,169,169,0.314845532178879,0.314845532178879,0.314845532178879,,,,,,
86,171,171,171,0.28537729382515,0.28537729382515,0.28537729382515,,,,,,
87,173,173,173,0.277586281299591,0.277586281299591,0.277586281299591,,,,,,
88,175,175,175,0.355513542890549,0.355513542890549,0.355513542890549,,,,,,
89,177,177,177,0.377703785896301,0.377703785896301,0.377703785896301,,,,,,
90,179,179,179,0.254823327064514,0.254823327064514,0.254823327064514,,,,,,
91,181,181,181,0.298086196184158,0.298086196184158,0.298086196184158,,,,,,
92,183,183,183,0.386171251535416,0.386171251535416,0.386171251535416,,,,,,
93,185,185,185,0.284384310245514,0.284384310245514,0.284384310245514,,,,,,
94,187,187,187,0.333663105964661,0.333663105964661,0.333663105964661,,,,,,
95,189,189,189,0.382372140884399,0.382372140884399,0.382372140884399,,,,,,
96,191,191,191,0.299329936504364,0.299329936504364,0.299329936504364,,,,,,
97,193,193,193,0.239084482192993,0.239084482192993,0.239084482192993,,,,,,
98,195,195,195,0.385197460651398,0.385197460651398,0.385197460651398,,,,,,
99,197,197,197,0.307007044553757,0.307007044553757,0.307007044553757,,,,,,
100,199,199,199,0.288691610097885,0.288691610097885,0.288691610097885,,,,,,
101,201,201,201,0.384464621543884,0.384464621543884,0.384464621543884,,,,,,
102,203,203,203,0.364098370075226,0.364098370075226,0.364098370075226,,,,,,
103,205,205,205,0.311248481273651,0.311248481273651,0.311248481273651,,,,,,
104,207,207,207,0.362270563840866,0.362270563840866,0.362270563840866,,,,,,
105,209,209,209,0.349883407354355,0.349883407354355,0.349883407354355,,,,,,
106,211,211,211,0.338755190372467,0.338755190372467,0.338755190372467,,,,,,
107,213,213,213,0.30419984459877,0.30419984459877,0.30419984459877,,,,,,
108,215,215,215,0.369013458490372,0.369013458490372,0.369013458490372,,,,,,
109,217,217,217,0.528690040111542,0.528690040111542,0.528690040111542,,,,,,
110,219,219,219,0.545571684837341,0.545571684837341,0.545571684837341,,,,,,
111,221,221,221,0.302351385354996,0.302351385354996,0.302351385354996,,,,,,
112,223,223,223,0.588172316551209,0.588172316551209,0.588172316551209,,,,,,
113,225,225,225,0.427447438240051,0.427447438240051,0.427447438240051,,,,,,
114,227,227,227,0.787636697292328,0.787636697292328,0.787636697292328,,,,,,
115,229,229,229,0.56613689661026,0.56613689661026,0.56613689661026,,,,,,
116,231,231,231,0.638316035270691,0.638316035270691,0.638316035270691,,,,,,
117,233,233,233,0.525338888168335,0.525338888168335,0.525338888168335,,,,,,
118,235,235,235,0.662377178668976,0.662377178668976,0.662377178668976,,,,,,
119,237,237,237,0.361132621765137,0.361132621765137,0.361132621765137,,,,,,
120,239,239,239,0.66438752412796,0.66438752412796,0.66438752412796,,,,,,
121,241,241,241,0.448148995637894,0.448148995637894,0.448148995637894,,,,,,
122,243,243,243,0.622353255748749,0.622353255748749,0.622353255748749,,,,,,
123,245,245,245,0.542412102222443,0.542412102222443,0.542412102222443,,,,,,
124,247,247,247,0.606898605823517,0.606898605823517,0.606898605823517,,,,,,
125,249,249,249,0.653534770011902,0.653534770011902,0.653534770011902,,,,,,
126,251,251,251,0.449664741754532,0.449664741754532,0.449664741754532,,,,,,
127,253,253,253,0.614500820636749,0.614500820636749,0.614500820636749,,,,,,
128,255,255,255,0.428765714168549,0.428765714168549,0.428765714168549,,,,,,
129,257,257,257,0.531814992427826,0.531814992427826,0.531814992427826,,,,,,
130,259,259,259,0.509370982646942,0.509370982646942,0.509370982646942,,,,,,
131,261,261,261,0.606965065002441,0.606965065002441,0.606965065002441,,,,,,
132,263,263,263,0.600266993045807,0.600266993045807,0.600266993045807,,,,,,
133,265,265,265,0.612534701824188,0.612534701824188,0.612534701824188,,,,,,
134,267,267,267,0.414461731910706,0.414461731910706,0.414461731910706,,,,,,
135,269,269,269,0.605597019195557,0.605597019195557,0.605597019195557,,,,,,
136,271,271,271,0.59215772151947,0.59215772151947,0.59215772151947,,,,,,
137,273,273,273,0.636811256408691,0.636811256408691,0.636811256408691,,,,,,
138,275,275,275,0.488257586956024,0.488257586956024,0.488257586956024,,,,,,
139,277,277,277,0.464051365852356,0.464051365852356,0.464051365852356,,,,,,
140,279,279,279,0.585503041744232,0.585503041744232,0.585503041744232,,,,,,
141,281,281,281,0.381025582551956,0.381025582551956,0.381025582551956,,,,,,
142,283,283,283,0.49360328912735,0.49360328912735,0.49360328912735,,,,,,
143,285,285,285,0.504335343837738,0.504335343837738,0.504335343837738,,,,,,
144,287,287,287,0.494469821453095,0.494469821453095,0.494469821453095,,,,,,
145,289,289,289,0.543655753135681,0.543655753135681,0.543655753135681,,,,,,
146,291,291,291,0.476070016622543,0.476070016622543,0.476070016622543,,,,,,
147,293,293,293,0.541865110397339,0.541865110397339,0.541865110397339,,,,,,
148,295,295,295,0.527236104011536,0.527236104011536,0.527236104011536,,,,,,
149,297,297,297,0.412103772163391,0.412103772163391,0.412103772163391,,,,,,
150,299,299,299,0.712812304496765,0.712812304496765,0.712812304496765,,,,,,
151,301,301,301,0.559880554676056,0.559880554676056,0.559880554676056,,,,,,
152,303,303,303,0.485652595758438,0.485652595758438,0.485652595758438,,,,,,
153,305,305,305,0.460076570510864,0.460076570510864,0.460076570510864,,,,,,
154,307,307,307,0.466481268405914,0.466481268405914,0.466481268405914,,,,,,
155,309,309,309,0.495656669139862,0.495656669139862,0.495656669139862,,,,,,
156,311,311,311,0.559547424316406,0.559547424316406,0.559547424316406,,,,,,
157,313,313,313,0.611979484558106,0.611979484558106,0.611979484558106,,,,,,
158,315,315,315,0.578199744224548,0.578199744224548,0.578199744224548,,,,,,
159,317,317,317,0.616117358207703,0.616117358207703,0.616117358207703,,,,,,
160,319,319,319,0.544288516044617,0.544288516044617,0.544288516044617,,,,,,
161,321,321,321,0.509716391563416,0.509716391563416,0.509716391563416,,,,,,
162,323,323,323,0.450241655111313,0.450241655111313,0.450241655111313,,,,,,
163,325,325,325,0.623518407344818,0.623518407344818,0.623518407344818,,,,,,
164,327,327,327,0.501616597175598,0.501616597175598,0.501616597175598,,,,,,
165,329,329,329,0.539256274700165,0.539256274700165,0.539256274700165,,,,,,
