"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_grad_norm","recur1b-mig-234 - global_grad_norm__MIN","recur1b-mig-234 - global_grad_norm__MAX"
"1504","147","147","147","0.5681909918785095","0.5681909918785095","0.5681909918785095"
"1505","149","149","149","0.5732625722885132","0.5732625722885132","0.5732625722885132"
"1506","151","151","151","0.6697454452514648","0.6697454452514648","0.6697454452514648"
"1507","153","153","153","0.6491891145706177","0.6491891145706177","0.6491891145706177"
"1508","155","155","155","0.7188482880592346","0.7188482880592346","0.7188482880592346"
"1509","157","157","157","0.6537540555000305","0.6537540555000305","0.6537540555000305"
"1510","159","159","159","0.5196824669837952","0.5196824669837952","0.5196824669837952"
"1511","161","161","161","0.5394785404205322","0.5394785404205322","0.5394785404205322"
"1512","163","163","163","0.5510348677635193","0.5510348677635193","0.5510348677635193"
"1513","165","165","165","0.5430827140808105","0.5430827140808105","0.5430827140808105"
"1514","167","167","167","0.5736115574836731","0.5736115574836731","0.5736115574836731"
"1515","169","169","169","0.7414359450340271","0.7414359450340271","0.7414359450340271"
"1516","171","171","171","0.6817312240600586","0.6817312240600586","0.6817312240600586"
"1517","173","173","173","0.5793058276176453","0.5793058276176453","0.5793058276176453"
"1518","175","175","175","0.659101665019989","0.659101665019989","0.659101665019989"
"1519","177","177","177","0.6096997261047363","0.6096997261047363","0.6096997261047363"
"1520","179","179","179","0.6624161005020142","0.6624161005020142","0.6624161005020142"
"1521","181","181","181","0.6081565618515015","0.6081565618515015","0.6081565618515015"
"1522","183","183","183","0.5796670913696289","0.5796670913696289","0.5796670913696289"
"1523","185","185","185","0.5925154685974121","0.5925154685974121","0.5925154685974121"
"1524","187","187","187","0.5367030501365662","0.5367030501365662","0.5367030501365662"
"1525","189","189","189","0.5274452567100525","0.5274452567100525","0.5274452567100525"
"1526","191","191","191","0.5480033755302429","0.5480033755302429","0.5480033755302429"
"1527","193","193","193","0.6426035761833191","0.6426035761833191","0.6426035761833191"
"1528","195","195","195","0.7697209715843201","0.7697209715843201","0.7697209715843201"
"1529","197","197","197","0.6856762766838074","0.6856762766838074","0.6856762766838074"
"1530","199","199","199","0.5552189946174622","0.5552189946174622","0.5552189946174622"
"1531","201","201","201","0.5308095812797546","0.5308095812797546","0.5308095812797546"
"1532","203","203","203","0.5800496339797974","0.5800496339797974","0.5800496339797974"
"1533","205","205","205","0.5884582996368408","0.5884582996368408","0.5884582996368408"
"1534","207","207","207","0.6390864253044128","0.6390864253044128","0.6390864253044128"
"1535","209","209","209","0.7372559309005737","0.7372559309005737","0.7372559309005737"
"1536","211","211","211","0.7530220150947571","0.7530220150947571","0.7530220150947571"
"1537","213","213","213","0.5581529140472412","0.5581529140472412","0.5581529140472412"
"1538","215","215","215","0.5500950217247009","0.5500950217247009","0.5500950217247009"
"1539","217","217","217","0.5483970046043396","0.5483970046043396","0.5483970046043396"
"1540","219","219","219","0.5665335655212402","0.5665335655212402","0.5665335655212402"
"1541","221","221","221","0.5179712176322937","0.5179712176322937","0.5179712176322937"
"1542","223","223","223","0.5778553485870361","0.5778553485870361","0.5778553485870361"
"1543","225","225","225","0.6101139187812805","0.6101139187812805","0.6101139187812805"
"1544","227","227","227","0.5691127777099609","0.5691127777099609","0.5691127777099609"
"1545","229","229","229","0.5829908847808838","0.5829908847808838","0.5829908847808838"
"1546","231","231","231","0.6768234968185425","0.6768234968185425","0.6768234968185425"
"1547","233","233","233","0.6546584963798523","0.6546584963798523","0.6546584963798523"
"1548","235","235","235","0.5872350931167603","0.5872350931167603","0.5872350931167603"
"1549","237","237","237","0.679751455783844","0.679751455783844","0.679751455783844"
"1550","239","239","239","0.7686446905136108","0.7686446905136108","0.7686446905136108"
"1551","241","241","241","0.7519557476043701","0.7519557476043701","0.7519557476043701"
"1552","243","243","243","0.5718810558319092","0.5718810558319092","0.5718810558319092"
"1553","245","245","245","0.6105292439460754","0.6105292439460754","0.6105292439460754"
"1554","247","247","247","0.5383175015449524","0.5383175015449524","0.5383175015449524"
"1555","249","249","249","0.5783746242523193","0.5783746242523193","0.5783746242523193"
"1556","251","251","251","0.5763228535652161","0.5763228535652161","0.5763228535652161"
"1557","253","253","253","0.6611670255661011","0.6611670255661011","0.6611670255661011"
"1558","255","255","255","0.7536659240722656","0.7536659240722656","0.7536659240722656"
"1559","257","257","257","0.6892114877700806","0.6892114877700806","0.6892114877700806"
"1560","259","259","259","0.617369532585144","0.617369532585144","0.617369532585144"
"1561","261","261","261","0.6120579242706299","0.6120579242706299","0.6120579242706299"
"1562","263","263","263","0.7929069995880127","0.7929069995880127","0.7929069995880127"
"1563","265","265","265","0.6809322237968445","0.6809322237968445","0.6809322237968445"
"1564","267","267","267","0.7202203273773193","0.7202203273773193","0.7202203273773193"
"1565","269","269","269","0.772315502166748","0.772315502166748","0.772315502166748"
"1566","271","271","271","0.599113404750824","0.599113404750824","0.599113404750824"
"1567","273","273","273","0.5545143485069275","0.5545143485069275","0.5545143485069275"
"1568","275","275","275","0.6002955436706543","0.6002955436706543","0.6002955436706543"
"1569","277","277","277","0.5815409421920776","0.5815409421920776","0.5815409421920776"
"1570","279","279","279","0.6202850341796875","0.6202850341796875","0.6202850341796875"
"1571","281","281","281","0.6506503820419312","0.6506503820419312","0.6506503820419312"
"1572","283","283","283","0.5818403959274292","0.5818403959274292","0.5818403959274292"
"1573","285","285","285","0.5572844743728638","0.5572844743728638","0.5572844743728638"
"1574","287","287","287","0.4929521381855011","0.4929521381855011","0.4929521381855011"
"1575","289","289","289","0.4866846203804016","0.4866846203804016","0.4866846203804016"
"1576","291","291","291","0.5668776035308838","0.5668776035308838","0.5668776035308838"
"1577","293","293","293","0.5943247079849243","0.5943247079849243","0.5943247079849243"
"1578","295","295","295","0.6596609354019165","0.6596609354019165","0.6596609354019165"
"1579","297","297","297","0.643060028553009","0.643060028553009","0.643060028553009"
"1580","299","299","299","0.5859605669975281","0.5859605669975281","0.5859605669975281"
"1581","301","301","301","0.5358151793479919","0.5358151793479919","0.5358151793479919"
"1582","303","303","303","0.6353227496147156","0.6353227496147156","0.6353227496147156"
"1583","305","305","305","0.638180136680603","0.638180136680603","0.638180136680603"
"1584","307","307","307","0.6136069297790527","0.6136069297790527","0.6136069297790527"
"1585","309","309","309","0.6784045100212097","0.6784045100212097","0.6784045100212097"
"1586","311","311","311","0.6121794581413269","0.6121794581413269","0.6121794581413269"
"1587","313","313","313","0.5773715972900391","0.5773715972900391","0.5773715972900391"
"1588","315","315","315","0.6366255283355713","0.6366255283355713","0.6366255283355713"
"1589","317","317","317","0.5710315108299255","0.5710315108299255","0.5710315108299255"
"1590","319","319","319","0.5292019248008728","0.5292019248008728","0.5292019248008728"
"1591","321","321","321","0.5549870729446411","0.5549870729446411","0.5549870729446411"
"1592","323","323","323","0.6464108228683472","0.6464108228683472","0.6464108228683472"
"1593","325","325","325","0.6658635139465332","0.6658635139465332","0.6658635139465332"
"1594","327","327","327","0.7316927313804626","0.7316927313804626","0.7316927313804626"
"1595","329","329","329","0.7353436946868896","0.7353436946868896","0.7353436946868896"
"1596","331","331","331","0.5777283310890198","0.5777283310890198","0.5777283310890198"
"1597","333","333","333","0.6304889917373657","0.6304889917373657","0.6304889917373657"
"1598","335","335","335","0.6220860481262207","0.6220860481262207","0.6220860481262207"
"1599","337","337","337","0.6033104062080383","0.6033104062080383","0.6033104062080383"
"1600","339","339","339","0.6324036717414856","0.6324036717414856","0.6324036717414856"
"1601","341","341","341","0.5653676986694336","0.5653676986694336","0.5653676986694336"
"1602","343","343","343","0.6027739644050598","0.6027739644050598","0.6027739644050598"
"1603","345","345","345","0.5802985429763794","0.5802985429763794","0.5802985429763794"
"1604","347","347","347","0.567470133304596","0.567470133304596","0.567470133304596"
"1605","349","349","349","0.5815922021865845","0.5815922021865845","0.5815922021865845"
"1606","351","351","351","0.6061232686042786","0.6061232686042786","0.6061232686042786"
"1607","353","353","353","0.589263379573822","0.589263379573822","0.589263379573822"
"1608","355","355","355","0.5032205581665039","0.5032205581665039","0.5032205581665039"
"1609","357","357","357","0.559384822845459","0.559384822845459","0.559384822845459"
"1610","359","359","359","0.5708096027374268","0.5708096027374268","0.5708096027374268"
"1611","361","361","361","0.5462456345558167","0.5462456345558167","0.5462456345558167"
"1612","363","363","363","0.5693510174751282","0.5693510174751282","0.5693510174751282"
"1613","365","365","365","0.5805119276046753","0.5805119276046753","0.5805119276046753"
"1614","367","367","367","0.6085410118103027","0.6085410118103027","0.6085410118103027"
"1615","369","369","369","0.6476743817329407","0.6476743817329407","0.6476743817329407"
"1616","371","371","371","0.6460633873939514","0.6460633873939514","0.6460633873939514"
"1617","373","373","373","0.5857406854629517","0.5857406854629517","0.5857406854629517"
"1618","375","375","375","0.6038634777069092","0.6038634777069092","0.6038634777069092"
"1619","377","377","377","0.5624455809593201","0.5624455809593201","0.5624455809593201"
"1620","379","379","379","0.48557230830192566","0.48557230830192566","0.48557230830192566"
"1621","381","381","381","0.5739929676055908","0.5739929676055908","0.5739929676055908"
"1622","383","383","383","0.6026757955551147","0.6026757955551147","0.6026757955551147"
"1623","385","385","385","0.6510909199714661","0.6510909199714661","0.6510909199714661"
"1624","387","387","387","0.7070441246032715","0.7070441246032715","0.7070441246032715"
"1625","389","389","389","0.5614892840385437","0.5614892840385437","0.5614892840385437"
"1626","391","391","391","0.4929071068763733","0.4929071068763733","0.4929071068763733"
"1627","393","393","393","0.6238270998001099","0.6238270998001099","0.6238270998001099"
"1628","395","395","395","0.5424550771713257","0.5424550771713257","0.5424550771713257"
"1629","397","397","397","0.5940191745758057","0.5940191745758057","0.5940191745758057"
"1630","399","399","399","0.526324987411499","0.526324987411499","0.526324987411499"
"1631","401","401","401","0.6026998162269592","0.6026998162269592","0.6026998162269592"
"1632","403","403","403","0.6141995191574097","0.6141995191574097","0.6141995191574097"
"1633","405","405","405","0.6169590353965759","0.6169590353965759","0.6169590353965759"
"1634","407","407","407","0.6892416477203369","0.6892416477203369","0.6892416477203369"
"1635","409","409","409","0.6795333623886108","0.6795333623886108","0.6795333623886108"
"1636","411","411","411","0.5432192087173462","0.5432192087173462","0.5432192087173462"
"1637","413","413","413","0.5750054717063904","0.5750054717063904","0.5750054717063904"
"1638","415","415","415","0.6645188331604004","0.6645188331604004","0.6645188331604004"
"1639","417","417","417","0.6505569219589233","0.6505569219589233","0.6505569219589233"
"1640","419","419","419","0.6113240718841553","0.6113240718841553","0.6113240718841553"
"1641","421","421","421","0.5453531742095947","0.5453531742095947","0.5453531742095947"
"1642","423","423","423","0.5643269419670105","0.5643269419670105","0.5643269419670105"
"1643","425","425","425","0.6642836332321167","0.6642836332321167","0.6642836332321167"
"1644","427","427","427","0.6950077414512634","0.6950077414512634","0.6950077414512634"
"1645","429","429","429","0.5547671914100647","0.5547671914100647","0.5547671914100647"
"1646","431","431","431","0.5398287773132324","0.5398287773132324","0.5398287773132324"
"1647","433","433","433","0.6013029217720032","0.6013029217720032","0.6013029217720032"
"1648","435","435","435","0.5748294591903687","0.5748294591903687","0.5748294591903687"
"1649","437","437","437","0.518841028213501","0.518841028213501","0.518841028213501"
"1650","439","439","439","0.5133512616157532","0.5133512616157532","0.5133512616157532"
"1651","441","441","441","0.5130093097686768","0.5130093097686768","0.5130093097686768"
"1652","443","443","443","0.546811044216156","0.546811044216156","0.546811044216156"
"1653","445","445","445","0.546150267124176","0.546150267124176","0.546150267124176"
"1654","447","447","447","0.5808382630348206","0.5808382630348206","0.5808382630348206"
"1655","449","449","449","0.5487756133079529","0.5487756133079529","0.5487756133079529"
"1656","451","451","451","0.6016644239425659","0.6016644239425659","0.6016644239425659"
"1657","453","453","453","0.638325572013855","0.638325572013855","0.638325572013855"
"1658","455","455","455","0.5037342309951782","0.5037342309951782","0.5037342309951782"
"1659","457","457","457","0.518677830696106","0.518677830696106","0.518677830696106"
"1660","459","459","459","0.5201951265335083","0.5201951265335083","0.5201951265335083"
"1661","461","461","461","0.5730628371238708","0.5730628371238708","0.5730628371238708"
"1662","463","463","463","0.5676700472831726","0.5676700472831726","0.5676700472831726"
"1663","465","465","465","0.5382698178291321","0.5382698178291321","0.5382698178291321"
"1664","467","467","467","0.5576469302177429","0.5576469302177429","0.5576469302177429"
"1665","469","469","469","0.5251542329788208","0.5251542329788208","0.5251542329788208"
"1666","471","471","471","0.5265538096427917","0.5265538096427917","0.5265538096427917"
"1667","473","473","473","0.6052643656730652","0.6052643656730652","0.6052643656730652"
"1668","475","475","475","0.5954388976097107","0.5954388976097107","0.5954388976097107"
"1669","477","477","477","0.5602337718009949","0.5602337718009949","0.5602337718009949"
"1670","479","479","479","0.5726898908615112","0.5726898908615112","0.5726898908615112"
"1671","481","481","481","0.508460521697998","0.508460521697998","0.508460521697998"
"1672","483","483","483","0.5666869878768921","0.5666869878768921","0.5666869878768921"
"1673","485","485","485","0.5390035510063171","0.5390035510063171","0.5390035510063171"
"1674","487","487","487","0.528164267539978","0.528164267539978","0.528164267539978"
"1675","489","489","489","0.555709183216095","0.555709183216095","0.555709183216095"
"1676","491","491","491","0.5402246713638306","0.5402246713638306","0.5402246713638306"
"1677","493","493","493","0.5413491129875183","0.5413491129875183","0.5413491129875183"
"1678","495","495","495","0.5242747068405151","0.5242747068405151","0.5242747068405151"
"1679","497","497","497","0.7158294916152954","0.7158294916152954","0.7158294916152954"
"1680","499","499","499","0.6301991939544678","0.6301991939544678","0.6301991939544678"
"1681","501","501","501","0.6345013380050659","0.6345013380050659","0.6345013380050659"
"1682","503","503","503","0.6649025678634644","0.6649025678634644","0.6649025678634644"
"1683","505","505","505","0.6200096011161804","0.6200096011161804","0.6200096011161804"
"1684","507","507","507","0.5533632040023804","0.5533632040023804","0.5533632040023804"
"1685","509","509","509","0.5732885003089905","0.5732885003089905","0.5732885003089905"
"1686","511","511","511","0.5160728693008423","0.5160728693008423","0.5160728693008423"
"1687","513","513","513","0.5366225838661194","0.5366225838661194","0.5366225838661194"
"1688","515","515","515","0.5189603567123413","0.5189603567123413","0.5189603567123413"
"1689","517","517","517","0.6175186038017273","0.6175186038017273","0.6175186038017273"
"1690","519","519","519","0.654330313205719","0.654330313205719","0.654330313205719"
"1691","521","521","521","0.6351039409637451","0.6351039409637451","0.6351039409637451"
"1692","523","523","523","0.5293460488319397","0.5293460488319397","0.5293460488319397"
"1693","525","525","525","0.4984077513217926","0.4984077513217926","0.4984077513217926"
"1694","527","527","527","0.5265944004058838","0.5265944004058838","0.5265944004058838"
"1695","529","529","529","0.5169183611869812","0.5169183611869812","0.5169183611869812"
"1696","531","531","531","0.5634031295776367","0.5634031295776367","0.5634031295776367"
"1697","533","533","533","0.6038610339164734","0.6038610339164734","0.6038610339164734"
"1698","535","535","535","0.508211612701416","0.508211612701416","0.508211612701416"
"1699","537","537","537","0.5094722509384155","0.5094722509384155","0.5094722509384155"
"1700","539","539","539","0.5510462522506714","0.5510462522506714","0.5510462522506714"
"1701","541","541","541","0.4837326109409332","0.4837326109409332","0.4837326109409332"
