"optimizer_step","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - word_embed_l2_param_norm","recur1b-mig-212 - word_embed_l2_param_norm__MIN","recur1b-mig-212 - word_embed_l2_param_norm__MAX"
"126","251","251","251","120.36565399169922","120.36565399169922","120.36565399169922"
"127","253","253","253","120.42879486083984","120.42879486083984","120.42879486083984"
"128","255","255","255","120.49175262451172","120.49175262451172","120.49175262451172"
"129","257","257","257","120.55498504638672","120.55498504638672","120.55498504638672"
"130","259","259","259","120.61820220947266","120.61820220947266","120.61820220947266"
"131","261","261","261","120.68140411376953","120.68140411376953","120.68140411376953"
"132","263","263","263","120.7442626953125","120.7442626953125","120.7442626953125"
"133","265","265","265","120.80689239501953","120.80689239501953","120.80689239501953"
"134","267","267","267","120.8694839477539","120.8694839477539","120.8694839477539"
"135","269","269","269","120.93180084228516","120.93180084228516","120.93180084228516"
"136","271","271","271","120.99382019042969","120.99382019042969","120.99382019042969"
"137","273","273","273","121.0555648803711","121.0555648803711","121.0555648803711"
"138","275","275","275","121.11717987060547","121.11717987060547","121.11717987060547"
"139","277","277","277","121.17849731445312","121.17849731445312","121.17849731445312"
"140","279","279","279","121.23994445800781","121.23994445800781","121.23994445800781"
"141","281","281","281","121.30126953125","121.30126953125","121.30126953125"
"142","283","283","283","121.36268615722656","121.36268615722656","121.36268615722656"
"143","285","285","285","121.42349243164062","121.42349243164062","121.42349243164062"
"144","287","287","287","121.48444366455078","121.48444366455078","121.48444366455078"
"145","289","289","289","121.54533386230469","121.54533386230469","121.54533386230469"
"146","291","291","291","121.60649871826172","121.60649871826172","121.60649871826172"
"147","293","293","293","121.66753387451172","121.66753387451172","121.66753387451172"
"148","295","295","295","121.72822570800781","121.72822570800781","121.72822570800781"
"149","297","297","297","121.78843688964844","121.78843688964844","121.78843688964844"
"150","299","299","299","121.84845733642578","121.84845733642578","121.84845733642578"
"151","301","301","301","121.90885925292969","121.90885925292969","121.90885925292969"
"152","303","303","303","121.96896362304688","121.96896362304688","121.96896362304688"
"153","305","305","305","122.02881622314453","122.02881622314453","122.02881622314453"
"154","307","307","307","122.0883560180664","122.0883560180664","122.0883560180664"
"155","309","309","309","122.14808654785156","122.14808654785156","122.14808654785156"
"156","311","311","311","122.20706939697266","122.20706939697266","122.20706939697266"
"157","313","313","313","122.2665786743164","122.2665786743164","122.2665786743164"
"158","315","315","315","122.32537841796875","122.32537841796875","122.32537841796875"
"159","317","317","317","122.3841323852539","122.3841323852539","122.3841323852539"
"160","319","319","319","122.44336700439453","122.44336700439453","122.44336700439453"
"161","321","321","321","122.50206756591797","122.50206756591797","122.50206756591797"
"162","323","323","323","122.56058502197266","122.56058502197266","122.56058502197266"
"163","325","325","325","122.61885833740234","122.61885833740234","122.61885833740234"
"164","327","327","327","122.67684936523438","122.67684936523438","122.67684936523438"
"165","329","329","329","122.73501586914062","122.73501586914062","122.73501586914062"
"166","331","331","331","122.79285430908203","122.79285430908203","122.79285430908203"
"167","333","333","333","122.85029602050781","122.85029602050781","122.85029602050781"
"168","335","335","335","122.90774536132812","122.90774536132812","122.90774536132812"
"169","337","337","337","122.96458435058594","122.96458435058594","122.96458435058594"
"170","339","339","339","123.02137756347656","123.02137756347656","123.02137756347656"
"171","341","341","341","123.0782470703125","123.0782470703125","123.0782470703125"
"172","343","343","343","123.13440704345703","123.13440704345703","123.13440704345703"
"173","345","345","345","123.19059753417969","123.19059753417969","123.19059753417969"
"174","347","347","347","123.24718475341797","123.24718475341797","123.24718475341797"
"175","349","349","349","123.30298614501953","123.30298614501953","123.30298614501953"
"176","351","351","351","123.35902404785156","123.35902404785156","123.35902404785156"
"177","353","353","353","123.41460418701172","123.41460418701172","123.41460418701172"
"178","355","355","355","123.47020721435547","123.47020721435547","123.47020721435547"
"179","357","357","357","123.52487182617188","123.52487182617188","123.52487182617188"
"180","359","359","359","123.58007049560547","123.58007049560547","123.58007049560547"
"181","361","361","361","123.63580322265625","123.63580322265625","123.63580322265625"
"182","363","363","363","123.69062805175781","123.69062805175781","123.69062805175781"
"183","365","365","365","123.744873046875","123.744873046875","123.744873046875"
"184","367","367","367","123.79866027832031","123.79866027832031","123.79866027832031"
"185","369","369","369","123.85294342041016","123.85294342041016","123.85294342041016"
"186","371","371","371","123.90678405761719","123.90678405761719","123.90678405761719"
"187","373","373","373","123.95988464355469","123.95988464355469","123.95988464355469"
"188","375","375","375","124.01306915283203","124.01306915283203","124.01306915283203"
"189","377","377","377","124.06610870361328","124.06610870361328","124.06610870361328"
"190","379","379","379","124.11929321289062","124.11929321289062","124.11929321289062"
"191","381","381","381","124.1721420288086","124.1721420288086","124.1721420288086"
"192","383","383","383","124.22511291503906","124.22511291503906","124.22511291503906"
"193","385","385","385","124.27826690673828","124.27826690673828","124.27826690673828"
"194","387","387","387","124.33163452148438","124.33163452148438","124.33163452148438"
"195","389","389","389","124.38463592529297","124.38463592529297","124.38463592529297"
"196","391","391","391","124.43763732910156","124.43763732910156","124.43763732910156"
"197","393","393","393","124.49034881591797","124.49034881591797","124.49034881591797"
"198","395","395","395","124.54383087158203","124.54383087158203","124.54383087158203"
"199","397","397","397","124.59640502929688","124.59640502929688","124.59640502929688"
"200","399","399","399","124.64906311035156","124.64906311035156","124.64906311035156"
"201","401","401","401","124.70166778564453","124.70166778564453","124.70166778564453"
"202","403","403","403","124.7542724609375","124.7542724609375","124.7542724609375"
"203","405","405","405","124.8069839477539","124.8069839477539","124.8069839477539"
"204","407","407","407","124.85987091064453","124.85987091064453","124.85987091064453"
"205","409","409","409","124.91142272949219","124.91142272949219","124.91142272949219"
"206","411","411","411","124.9635009765625","124.9635009765625","124.9635009765625"
"207","413","413","413","125.01507568359375","125.01507568359375","125.01507568359375"
"208","415","415","415","125.06593322753906","125.06593322753906","125.06593322753906"
"209","417","417","417","125.117431640625","125.117431640625","125.117431640625"
"210","419","419","419","125.16879272460938","125.16879272460938","125.16879272460938"
"211","421","421","421","125.21988677978516","125.21988677978516","125.21988677978516"
"212","423","423","423","125.27117156982422","125.27117156982422","125.27117156982422"
"213","425","425","425","125.32180786132812","125.32180786132812","125.32180786132812"
"214","427","427","427","125.37285614013672","125.37285614013672","125.37285614013672"
"215","429","429","429","125.42339324951172","125.42339324951172","125.42339324951172"
"216","431","431","431","125.47401428222656","125.47401428222656","125.47401428222656"
"217","433","433","433","125.52449798583984","125.52449798583984","125.52449798583984"
"218","435","435","435","125.57479095458984","125.57479095458984","125.57479095458984"
"219","437","437","437","125.62445068359375","125.62445068359375","125.62445068359375"
"220","439","439","439","125.6748046875","125.6748046875","125.6748046875"
"221","441","441","441","125.72467041015625","125.72467041015625","125.72467041015625"
"222","443","443","443","125.77430725097656","125.77430725097656","125.77430725097656"
"223","445","445","445","125.82381439208984","125.82381439208984","125.82381439208984"
"224","447","447","447","125.87284851074219","125.87284851074219","125.87284851074219"
"225","449","449","449","125.92169189453125","125.92169189453125","125.92169189453125"
"226","451","451","451","125.97050476074219","125.97050476074219","125.97050476074219"
"227","453","453","453","126.01848602294922","126.01848602294922","126.01848602294922"
"228","455","455","455","126.06714630126953","126.06714630126953","126.06714630126953"
"229","457","457","457","126.11589813232422","126.11589813232422","126.11589813232422"
"230","459","459","459","126.16405487060547","126.16405487060547","126.16405487060547"
"231","461","461","461","126.21223449707031","126.21223449707031","126.21223449707031"
"232","463","463","463","126.26029205322266","126.26029205322266","126.26029205322266"
"233","465","465","465","126.30854797363281","126.30854797363281","126.30854797363281"
"234","467","467","467","126.35723876953125","126.35723876953125","126.35723876953125"
"235","469","469","469","126.40432739257812","126.40432739257812","126.40432739257812"
"236","471","471","471","126.45215606689453","126.45215606689453","126.45215606689453"
"237","473","473","473","126.4995346069336","126.4995346069336","126.4995346069336"
"238","475","475","475","126.5470199584961","126.5470199584961","126.5470199584961"
"239","477","477","477","126.59419250488281","126.59419250488281","126.59419250488281"
"240","479","479","479","126.64088439941406","126.64088439941406","126.64088439941406"
"241","481","481","481","126.68841552734375","126.68841552734375","126.68841552734375"
