"total_tokens","recur1b-mig-212 - _step","recur1b-mig-212 - _step__MIN","recur1b-mig-212 - _step__MAX","recur1b-mig-212 - val_loss_1","recur1b-mig-212 - val_loss_1__MIN","recur1b-mig-212 - val_loss_1__MAX","recur1b-mig-212 - val_loss_2","recur1b-mig-212 - val_loss_2__MIN","recur1b-mig-212 - val_loss_2__MAX","recur1b-mig-212 - val_loss_4","recur1b-mig-212 - val_loss_4__MIN","recur1b-mig-212 - val_loss_4__MAX","recur1b-mig-212 - val_loss_8","recur1b-mig-212 - val_loss_8__MIN","recur1b-mig-212 - val_loss_8__MAX","recur1b-mig-212 - val_loss_16","recur1b-mig-212 - val_loss_16__MIN","recur1b-mig-212 - val_loss_16__MAX"
"1241513984","1183","1183","1183","5.497579574584961","5.497579574584961","5.497579574584961","4.535210609436035","4.535210609436035","4.535210609436035","4.041776657104492","4.041776657104492","4.041776657104492","3.9469823837280273","3.9469823837280273","3.9469823837280273","3.9433276653289795","3.9433276653289795","3.9433276653289795"
"1275068416","1215","1215","1215","5.474671363830566","5.474671363830566","5.474671363830566","4.507051467895508","4.507051467895508","4.507051467895508","4.0113725662231445","4.0113725662231445","4.0113725662231445","3.9170947074890137","3.9170947074890137","3.9170947074890137","3.913616180419922","3.913616180419922","3.913616180419922"
"1308622848","1247","1247","1247","5.463686466217041","5.463686466217041","5.463686466217041","4.48264741897583","4.48264741897583","4.48264741897583","3.9831185340881348","3.9831185340881348","3.9831185340881348","3.8885295391082764","3.8885295391082764","3.8885295391082764","3.8848414421081543","3.8848414421081543","3.8848414421081543"
"1342177280","1279","1279","1279","5.447041988372803","5.447041988372803","5.447041988372803","4.454345703125","4.454345703125","4.454345703125","3.9545090198516846","3.9545090198516846","3.9545090198516846","3.860023260116577","3.860023260116577","3.860023260116577","3.8564977645874023","3.8564977645874023","3.8564977645874023"
"1375731712","1311","1311","1311","5.433737277984619","5.433737277984619","5.433737277984619","4.433331489562988","4.433331489562988","4.433331489562988","3.929238796234131","3.929238796234131","3.929238796234131","3.8353347778320312","3.8353347778320312","3.8353347778320312","3.8318395614624023","3.8318395614624023","3.8318395614624023"
"1409286144","1343","1343","1343","5.434966087341309","5.434966087341309","5.434966087341309","4.4085540771484375","4.4085540771484375","4.4085540771484375","3.9079396724700928","3.9079396724700928","3.9079396724700928","3.8146376609802246","3.8146376609802246","3.8146376609802246","3.811276435852051","3.811276435852051","3.811276435852051"
"1442840576","1375","1375","1375","5.42122745513916","5.42122745513916","5.42122745513916","4.378324508666992","4.378324508666992","4.378324508666992","3.8742871284484863","3.8742871284484863","3.8742871284484863","3.78190541267395","3.78190541267395","3.78190541267395","3.7785184383392334","3.7785184383392334","3.7785184383392334"
"1476395008","1407","1407","1407","5.417357444763184","5.417357444763184","5.417357444763184","4.356954574584961","4.356954574584961","4.356954574584961","3.85853910446167","3.85853910446167","3.85853910446167","3.767695903778076","3.767695903778076","3.767695903778076","3.764410972595215","3.764410972595215","3.764410972595215"
"1509949440","1439","1439","1439","5.390819072723389","5.390819072723389","5.390819072723389","4.323487281799316","4.323487281799316","4.323487281799316","3.830090284347534","3.830090284347534","3.830090284347534","3.740023612976074","3.740023612976074","3.740023612976074","3.7371082305908203","3.7371082305908203","3.7371082305908203"
"1543503872","1471","1471","1471","5.385125160217285","5.385125160217285","5.385125160217285","4.306281089782715","4.306281089782715","4.306281089782715","3.8096511363983154","3.8096511363983154","3.8096511363983154","3.719947576522827","3.719947576522827","3.719947576522827","3.716921091079712","3.716921091079712","3.716921091079712"
"1577058304","1503","1503","1503","5.373249053955078","5.373249053955078","5.373249053955078","4.284831523895264","4.284831523895264","4.284831523895264","3.7904086112976074","3.7904086112976074","3.7904086112976074","3.701296329498291","3.701296329498291","3.701296329498291","3.698436975479126","3.698436975479126","3.698436975479126"
"1610612736","1535","1535","1535","5.366467475891113","5.366467475891113","5.366467475891113","4.268697738647461","4.268697738647461","4.268697738647461","3.7757833003997803","3.7757833003997803","3.7757833003997803","3.6876327991485596","3.6876327991485596","3.6876327991485596","3.684823513031006","3.684823513031006","3.684823513031006"
"1644167168","1567","1567","1567","5.343785285949707","5.343785285949707","5.343785285949707","4.241513252258301","4.241513252258301","4.241513252258301","3.7506253719329834","3.7506253719329834","3.7506253719329834","3.6628286838531494","3.6628286838531494","3.6628286838531494","3.6599395275115967","3.6599395275115967","3.6599395275115967"
"1677721600","1599","1599","1599","5.32649564743042","5.32649564743042","5.32649564743042","4.227388858795166","4.227388858795166","4.227388858795166","3.735567569732666","3.735567569732666","3.735567569732666","3.648441791534424","3.648441791534424","3.648441791534424","3.64583158493042","3.64583158493042","3.64583158493042"
