"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - word_embed_l2_param_norm","recur1b-mig-234 - word_embed_l2_param_norm__MIN","recur1b-mig-234 - word_embed_l2_param_norm__MAX"
"1724","587","587","587","152.6903533935547","152.6903533935547","152.6903533935547"
"1725","589","589","589","152.69398498535156","152.69398498535156","152.69398498535156"
"1726","591","591","591","152.6981964111328","152.6981964111328","152.6981964111328"
"1727","593","593","593","152.70201110839844","152.70201110839844","152.70201110839844"
"1728","595","595","595","152.7060089111328","152.7060089111328","152.7060089111328"
"1729","597","597","597","152.7094268798828","152.7094268798828","152.7094268798828"
"1730","599","599","599","152.71377563476562","152.71377563476562","152.71377563476562"
"1731","601","601","601","152.71719360351562","152.71719360351562","152.71719360351562"
"1732","603","603","603","152.72036743164062","152.72036743164062","152.72036743164062"
"1733","605","605","605","152.7244415283203","152.7244415283203","152.7244415283203"
"1734","607","607","607","152.72738647460938","152.72738647460938","152.72738647460938"
"1735","609","609","609","152.73204040527344","152.73204040527344","152.73204040527344"
"1736","611","611","611","152.73509216308594","152.73509216308594","152.73509216308594"
"1737","613","613","613","152.7390899658203","152.7390899658203","152.7390899658203"
"1738","615","615","615","152.7432861328125","152.7432861328125","152.7432861328125"
"1739","617","617","617","152.74609375","152.74609375","152.74609375"
"1740","619","619","619","152.7506103515625","152.7506103515625","152.7506103515625"
"1741","621","621","621","152.75372314453125","152.75372314453125","152.75372314453125"
"1742","623","623","623","152.756591796875","152.756591796875","152.756591796875"
"1743","625","625","625","152.76025390625","152.76025390625","152.76025390625"
"1744","627","627","627","152.76329040527344","152.76329040527344","152.76329040527344"
"1745","629","629","629","152.76705932617188","152.76705932617188","152.76705932617188"
"1746","631","631","631","152.77040100097656","152.77040100097656","152.77040100097656"
"1747","633","633","633","152.77374267578125","152.77374267578125","152.77374267578125"
"1748","635","635","635","152.77694702148438","152.77694702148438","152.77694702148438"
"1749","637","637","637","152.78094482421875","152.78094482421875","152.78094482421875"
"1750","639","639","639","152.78355407714844","152.78355407714844","152.78355407714844"
"1751","641","641","641","152.787109375","152.787109375","152.787109375"
"1752","643","643","643","152.79037475585938","152.79037475585938","152.79037475585938"
"1753","645","645","645","152.79359436035156","152.79359436035156","152.79359436035156"
"1754","647","647","647","152.7973175048828","152.7973175048828","152.7973175048828"
"1755","649","649","649","152.80136108398438","152.80136108398438","152.80136108398438"
"1756","651","651","651","152.80526733398438","152.80526733398438","152.80526733398438"
"1757","653","653","653","152.80809020996094","152.80809020996094","152.80809020996094"
"1758","655","655","655","152.81222534179688","152.81222534179688","152.81222534179688"
"1759","657","657","657","152.81495666503906","152.81495666503906","152.81495666503906"
"1760","659","659","659","152.8186798095703","152.8186798095703","152.8186798095703"
"1761","661","661","661","152.82192993164062","152.82192993164062","152.82192993164062"
"1762","663","663","663","152.82565307617188","152.82565307617188","152.82565307617188"
"1763","665","665","665","152.82945251464844","152.82945251464844","152.82945251464844"
"1764","667","667","667","152.83322143554688","152.83322143554688","152.83322143554688"
"1765","669","669","669","152.837158203125","152.837158203125","152.837158203125"
"1766","671","671","671","152.84068298339844","152.84068298339844","152.84068298339844"
"1767","673","673","673","152.84494018554688","152.84494018554688","152.84494018554688"
"1768","675","675","675","152.84776306152344","152.84776306152344","152.84776306152344"
"1769","677","677","677","152.85169982910156","152.85169982910156","152.85169982910156"
"1770","679","679","679","152.85528564453125","152.85528564453125","152.85528564453125"
"1771","681","681","681","152.85855102539062","152.85855102539062","152.85855102539062"
"1772","683","683","683","152.86227416992188","152.86227416992188","152.86227416992188"
"1773","685","685","685","152.8656463623047","152.8656463623047","152.8656463623047"
"1774","687","687","687","152.8699493408203","152.8699493408203","152.8699493408203"
