"optimizer_step","recur1b-mig-234 - _step","recur1b-mig-234 - _step__MIN","recur1b-mig-234 - _step__MAX","recur1b-mig-234 - global_loss","recur1b-mig-234 - global_loss__MIN","recur1b-mig-234 - global_loss__MAX"
"1578","295.5","295","296","2.311704635620117","2.2582547664642334","2.365154504776001"
"1579","297.5","297","298","2.4367599487304688","2.3868393898010254","2.486680507659912"
"1580","299.5","299","300","2.5444347858428955","2.4614076614379883","2.6274619102478027"
"1581","301.5","301","302","2.477558732032776","2.432215690612793","2.522901773452759"
"1582","303.5","303","304","2.4843173027038574","2.4435620307922363","2.5250725746154785"
"1583","305.5","305","306","2.5529741048812866","2.5356295108795166","2.5703186988830566"
"1584","307.5","307","308","2.4844155311584473","2.4680566787719727","2.500774383544922"
"1585","309.5","309","310","2.4478065967559814","2.4073081016540527","2.48830509185791"
"1586","311.5","311","312","2.412141442298889","2.3606107234954834","2.463672161102295"
"1587","313.5","313","314","2.409708023071289","2.2463793754577637","2.5730366706848145"
"1588","315.5","315","316","2.4306328296661377","2.4272613525390625","2.434004306793213"
"1589","317.5","317","318","2.4449167251586914","2.3587677478790283","2.5310657024383545"
"1590","319.5","319","320","2.419045090675354","2.4179766178131104","2.4201135635375977"
"1591","321.5","321","322","2.513392686843872","2.456477642059326","2.570307731628418"
"1592","323.5","323","324","2.48233962059021","2.3255116939544678","2.639167547225952"
"1593","325.5","325","326","2.410690665245056","2.3726277351379395","2.448753595352173"
"1594","327.5","327","328","2.583739161491394","2.5812320709228516","2.5862462520599365"
"1595","329.5","329","330","2.5023598670959473","2.447510004043579","2.5572097301483154"
"1596","331.5","331","332","2.4799320697784424","2.4735465049743652","2.4863176345825195"
"1597","333.5","333","334","2.5483813285827637","2.489403247833252","2.6073594093322754"
"1598","335.5","335","336","2.4243963956832886","2.399050712585449","2.449742078781128"
"1599","337.5","337","338","2.3717873096466064","2.3077962398529053","2.4357783794403076"
"1600","339.5","339","340","2.381278157234192","2.2922463417053223","2.4703099727630615"
"1601","341.5","341","342","2.4558833837509155","2.38136625289917","2.530400514602661"
"1602","343.5","343","344","2.4594171047210693","2.3954415321350098","2.523392677307129"
"1603","345.5","345","346","2.4826189279556274","2.3831303119659424","2.5821075439453125"
"1604","347.5","347","348","2.3749529123306274","2.3305447101593018","2.419361114501953"
"1605","349.5","349","350","2.4550470113754272","2.413602828979492","2.4964911937713623"
"1606","351.5","351","352","2.4058454036712646","2.3893909454345703","2.422299861907959"
"1607","353.5","353","354","2.4345046281814575","2.4008986949920654","2.4681105613708496"
"1608","355.5","355","356","2.5461769104003906","2.5350821018218994","2.557271718978882"
"1609","357.5","357","358","2.5243005752563477","2.4239630699157715","2.624638080596924"
"1610","359.5","359","360","2.4532458782196045","2.437640905380249","2.46885085105896"
"1611","361.5","361","362","2.3977373838424683","2.3494789600372314","2.445995807647705"
"1612","363.5","363","364","2.543282389640808","2.5280628204345703","2.558501958847046"
"1613","365.5","365","366","2.3167994022369385","2.280500650405884","2.353098154067993"
"1614","367.5","367","368","2.3680107593536377","2.3550705909729004","2.380950927734375"
"1615","369.5","369","370","2.3829855918884277","2.362586498260498","2.4033846855163574"
"1616","371.5","371","372","2.398262619972229","2.3536288738250732","2.4428963661193848"
"1617","373.5","373","374","2.4866487979888916","2.4039549827575684","2.569342613220215"
"1618","375.5","375","376","2.5532039403915405","2.4487812519073486","2.6576266288757324"
"1619","377.5","377","378","2.4424582719802856","2.4064178466796875","2.478498697280884"
"1620","379.5","379","380","2.4694266319274902","2.4595541954040527","2.4792990684509277"
"1621","381.5","381","382","2.4205996990203857","2.4117627143859863","2.429436683654785"
"1622","383.5","383","384","2.456494927406311","2.4523630142211914","2.4606268405914307"
"1623","385.5","385","386","2.480669856071472","2.472912311553955","2.4884274005889893"
"1624","387.5","387","388","2.356404185295105","2.3399791717529297","2.3728291988372803"
"1625","389.5","389","390","2.5434290170669556","2.5285959243774414","2.5582621097564697"
"1626","391.5","391","392","2.46868896484375","2.4670052528381348","2.4703726768493652"
"1627","393.5","393","394","2.4422258138656616","2.4412841796875","2.4431674480438232"
"1628","395.5","395","396","2.503597855567932","2.4906985759735107","2.5164971351623535"
"1629","397.5","397","398","2.4401793479919434","2.3956313133239746","2.484727382659912"
"1630","399.5","399","400","2.3133872747421265","2.261474609375","2.365299940109253"
"1631","401.5","401","402","2.4298514127731323","2.3995437622070312","2.4601590633392334"
"1632","403.5","403","404","2.4293580055236816","2.422758102416992","2.435957908630371"
"1633","405.5","405","406","2.460067868232727","2.4534943103790283","2.466641426086426"
"1634","407.5","407","408","2.5945101976394653","2.576418399810791","2.6126019954681396"
"1635","409.5","409","410","2.402569890022278","2.3298709392547607","2.475268840789795"
"1636","411.5","411","412","2.4906837940216064","2.446091413497925","2.535276174545288"
"1637","413.5","413","414","2.4934617280960083","2.4168508052825928","2.570072650909424"
"1638","415.5","415","416","2.448087692260742","2.270296812057495","2.6258785724639893"
"1639","417.5","417","418","2.4694037437438965","2.3953464031219482","2.5434610843658447"
"1640","419.5","419","420","2.361942172050476","2.331937313079834","2.391947031021118"
"1641","421.5","421","422","2.455113649368286","2.449794292449951","2.460433006286621"
"1642","423.5","423","424","2.4719460010528564","2.435887336730957","2.508004665374756"
"1643","425.5","425","426","2.44916570186615","2.3365750312805176","2.5617563724517822"
"1644","427.5","427","428","2.4884649515151978","2.4716203212738037","2.505309581756592"
