"total_tokens","_step","_step__MIN","_step__MAX","val_loss_1","val_loss_1__MIN","val_loss_1__MAX","val_loss_2","val_loss_2__MIN","val_loss_2__MAX","val_loss_4","val_loss_4__MIN","val_loss_4__MAX","val_loss_8","val_loss_8__MIN","val_loss_8__MAX","val_loss_16","val_loss_16__MIN","val_loss_16__MAX"
"301989888","1151","1151","1151","3.8286187648773193","3.8286187648773193","3.8286187648773193","3.5319607257843018","3.5319607257843018","3.5319607257843018","3.4621660709381104","3.4621660709381104","3.4621660709381104","3.456345558166504","3.456345558166504","3.456345558166504","3.4564647674560547","3.4564647674560547","3.4564647674560547"
"310378496","1183","1183","1183","3.814270496368408","3.814270496368408","3.814270496368408","3.525712728500366","3.525712728500366","3.525712728500366","3.457331418991089","3.457331418991089","3.457331418991089","3.451176404953003","3.451176404953003","3.451176404953003","3.450939655303955","3.450939655303955","3.450939655303955"
"318767104","1215","1215","1215","3.793788433074951","3.793788433074951","3.793788433074951","3.509228467941284","3.509228467941284","3.509228467941284","3.4430651664733887","3.4430651664733887","3.4430651664733887","3.4372060298919678","3.4372060298919678","3.4372060298919678","3.4373016357421875","3.4373016357421875","3.4373016357421875"
"327155712","1247","1247","1247","3.7808473110198975","3.7808473110198975","3.7808473110198975","3.5002739429473877","3.5002739429473877","3.5002739429473877","3.434169292449951","3.434169292449951","3.434169292449951","3.4280126094818115","3.4280126094818115","3.4280126094818115","3.427946090698242","3.427946090698242","3.427946090698242"
"335544320","1279","1279","1279","3.7630627155303955","3.7630627155303955","3.7630627155303955","3.4882049560546875","3.4882049560546875","3.4882049560546875","3.4209747314453125","3.4209747314453125","3.4209747314453125","3.4149513244628906","3.4149513244628906","3.4149513244628906","3.414952039718628","3.414952039718628","3.414952039718628"
"343932928","1311","1311","1311","3.7534773349761963","3.7534773349761963","3.7534773349761963","3.479154586791992","3.479154586791992","3.479154586791992","3.4134349822998047","3.4134349822998047","3.4134349822998047","3.407440423965454","3.407440423965454","3.407440423965454","3.407363176345825","3.407363176345825","3.407363176345825"
"352321536","1343","1343","1343","3.743234872817993","3.743234872817993","3.743234872817993","3.4725236892700195","3.4725236892700195","3.4725236892700195","3.4041433334350586","3.4041433334350586","3.4041433334350586","3.398221015930176","3.398221015930176","3.398221015930176","3.3979508876800537","3.3979508876800537","3.3979508876800537"
"360710144","1375","1375","1375","3.74409818649292","3.74409818649292","3.74409818649292","3.4620988368988037","3.4620988368988037","3.4620988368988037","3.396106481552124","3.396106481552124","3.396106481552124","3.3906805515289307","3.3906805515289307","3.3906805515289307","3.3906335830688477","3.3906335830688477","3.3906335830688477"
"369098752","1407","1407","1407","3.7258498668670654","3.7258498668670654","3.7258498668670654","3.450693368911743","3.450693368911743","3.450693368911743","3.3842711448669434","3.3842711448669434","3.3842711448669434","3.3779172897338867","3.3779172897338867","3.3779172897338867","3.377744674682617","3.377744674682617","3.377744674682617"
"377487360","1439","1439","1439","3.716858386993408","3.716858386993408","3.716858386993408","3.444463014602661","3.444463014602661","3.444463014602661","3.380859851837158","3.380859851837158","3.380859851837158","3.374394655227661","3.374394655227661","3.374394655227661","3.3743703365325928","3.3743703365325928","3.3743703365325928"
"385875968","1471","1471","1471","3.7110095024108887","3.7110095024108887","3.7110095024108887","3.438876152038574","3.438876152038574","3.438876152038574","3.3727855682373047","3.3727855682373047","3.3727855682373047","3.366417169570923","3.366417169570923","3.366417169570923","3.3662047386169434","3.3662047386169434","3.3662047386169434"
"394264576","1503","1503","1503","3.7128241062164307","3.7128241062164307","3.7128241062164307","3.434800148010254","3.434800148010254","3.434800148010254","3.366593599319458","3.366593599319458","3.366593599319458","3.3596949577331543","3.3596949577331543","3.3596949577331543","3.359696626663208","3.359696626663208","3.359696626663208"
"402653184","1535","1535","1535","3.700533866882324","3.700533866882324","3.700533866882324","3.4324913024902344","3.4324913024902344","3.4324913024902344","3.3649096488952637","3.3649096488952637","3.3649096488952637","3.3583598136901855","3.3583598136901855","3.3583598136901855","3.3583269119262695","3.3583269119262695","3.3583269119262695"
"411041792","1567","1567","1567","3.697951555252075","3.697951555252075","3.697951555252075","3.428584575653076","3.428584575653076","3.428584575653076","3.362551212310791","3.362551212310791","3.362551212310791","3.356194496154785","3.356194496154785","3.356194496154785","3.355949640274048","3.355949640274048","3.355949640274048"
"419430400","1599","1599","1599","3.691182851791382","3.691182851791382","3.691182851791382","3.4209725856781006","3.4209725856781006","3.4209725856781006","3.3572137355804443","3.3572137355804443","3.3572137355804443","3.350473165512085","3.350473165512085","3.350473165512085","3.350356340408325","3.350356340408325","3.350356340408325"
"427819008","1631","1631","1631","3.668893337249756","3.668893337249756","3.668893337249756","3.4090099334716797","3.4090099334716797","3.4090099334716797","3.344102382659912","3.344102382659912","3.344102382659912","3.337502956390381","3.337502956390381","3.337502956390381","3.337460517883301","3.337460517883301","3.337460517883301"
"436207616","1663","1663","1663","3.653811454772949","3.653811454772949","3.653811454772949","3.3967034816741943","3.3967034816741943","3.3967034816741943","3.3336143493652344","3.3336143493652344","3.3336143493652344","3.3270103931427","3.3270103931427","3.3270103931427","3.326934337615967","3.326934337615967","3.326934337615967"
